id,date,location,species,length_cm,weight_kg,method,weather,water_temp_c,notes
59,2022-04-18,Øygarden,Lyr,85.0,7.44,Pilking,Vind,8.1,Litt bølger
60,2024-02-03,Austevoll,Sei,48.5,3.63,Shad,Sol,9.9,Veldig seig i starten
61,2023-05-28,Fedje,Horngjel,74.5,8.96,Shad,Sol,16.5,Rolige forhold
62,2022-02-10,Fitjarøyene,Lyr,54.9,6.79,Sluk,Regn,17.8,Overraskende tung
63,2023-07-31,Sotra,Steinbit,109.0,10.03,Jigg,Skyet,17.5,Overraskende tung
64,2023-06-29,Fedje,Makrell,24.9,1.87,Pilking,Lettskyet,6.2,Beste fangst på lenge
65,2023-02-17,Austevoll,Makrell,22.1,1.8,Jigg,Tåke,13.5,Tok på første kast
66,2023-12-05,Austevoll,Torsk,50.1,3.36,Pilking,Vind,17.1,Beste fangst på lenge
67,2022-01-06,Tysnes,Sei,53.3,4.23,Flue,Sol,10.7,Veldig seig i starten
68,2022-05-22,Fitjarøyene,Sei,28.0,2.08,Shad,Lettskyet,13.5,Fin dag på sjøen
69,2024-11-02,Bjørnafjorden,Sild,61.5,5.7,Pilking,Lettskyet,7.4,Tok på første kast
70,2024-11-13,Bjørnafjorden,Torsk,81.3,7.93,Flue,Sol,17.4,Veldig seig i starten
71,2023-01-24,Tysnes,Steinbit,99.7,6.63,Sluk,Skyet,9.5,Beste fangst på lenge
72,2022-02-06,Tysnes,Steinbit,109.6,9.63,Jigg,Vind,11.4,Tok på første kast
73,2022-05-19,Fedje,Makrell,90.4,8.23,Pilking,Skyet,11.7,Veldig seig i starten
74,2024-11-25,Sotra,Steinbit,106.6,7.03,Jigg,Skyet,7.3,Mye småfisk
75,2022-01-22,Bjørnafjorden,Steinbit,97.7,13.46,Sluk,Skyet,7.1,Tok på første kast
76,2024-11-08,Øygarden,Steinbit,67.0,4.21,Jigg,Lettskyet,10.4,Veldig seig i starten
77,2022-05-13,Bjørnafjorden,Torsk,115.8,15.68,Sluk,Skyet,16.1,Tok på første kast
78,2024-12-26,Sotra,Lyr,115.0,14.02,Jigg,Skyet,15.1,Veldig seig i starten
79,2023-06-22,Sotra,Torsk,54.4,5.12,Flue,Tåke,14.9,Tok på første kast
80,2024-05-04,Fitjarøyene,Lyr,41.9,3.31,Sluk,Skyet,11.1,Beste fangst på lenge
81,2023-10-23,Tysnes,Steinbit,83.1,6.36,Sluk,Skyet,14.0,Beste fangst på lenge
82,2024-12-31,Tysnes,Steinbit,87.1,9.61,Pilking,Skyet,8.6,Tok på første kast
83,2024-11-25,Øygarden,Sei,104.9,9.2,Sluk,Lettskyet,10.8,Mye småfisk
84,2022-12-05,Sotra,Horngjel,37.2,4.37,Jigg,Sol,10.6,Overraskende tung
85,2022-06-20,Fedje,Makrell,116.6,13.16,Pilking,Sol,16.0,Mye småfisk
86,2023-10-16,Sotra,Sild,71.2,8.62,Shad,Skyet,8.3,Veldig seig i starten
87,2022-04-05,Fitjarøyene,Makrell,41.1,5.18,Jigg,Skyet,16.2,Litt bølger
88,2024-07-10,Fitjarøyene,Sild,116.6,7.03,Sluk,Lettskyet,7.0,Rolige forhold
89,2023-04-21,Austevoll,Hyse,56.6,6.7,Sluk,Vind,16.6,Overraskende tung
90,2023-02-23,Tysnes,Torsk,117.0,10.73,Shad,Sol,11.0,Beste fangst på lenge
91,2024-01-04,Øygarden,Horngjel,30.2,3.08,Flue,Lettskyet,9.9,Overraskende tung
92,2024-02-02,Tysnes,Steinbit,23.1,2.64,Shad,Tåke,15.7,Overraskende tung
93,2022-02-06,Øygarden,Lyr,86.1,11.15,Agn,Vind,16.6,Beste fangst på lenge
94,2022-10-09,Fitjarøyene,Horngjel,44.5,5.43,Flue,Skyet,9.4,Tok på første kast
95,2022-01-01,Bjørnafjorden,Steinbit,113.4,8.93,Shad,Regn,16.0,Veldig seig i starten
96,2023-04-02,Øygarden,Lyr,103.4,10.9,Pilking,Lettskyet,12.3,Veldig seig i starten
97,2023-11-23,Sotra,Sild,21.8,1.85,Shad,Tåke,15.1,Beste fangst på lenge
98,2022-04-25,Øygarden,Torsk,104.0,6.7,Jigg,Regn,14.7,Veldig seig i starten
99,2024-10-23,Bjørnafjorden,Steinbit,65.8,6.57,Agn,Sol,7.1,Rolige forhold
100,2023-03-18,Tysnes,Sild,55.9,6.99,Flue,Skyet,17.6,Fin dag på sjøen
101,2023-08-11,Fitjarøyene,Horngjel,50.6,5.64,Jigg,Lettskyet,12.2,Mye småfisk
102,2024-01-22,Tysnes,Lyr,113.1,9.81,Flue,Tåke,10.8,Veldig seig i starten
103,2024-01-05,Tysnes,Lyr,49.6,6.76,Flue,Lettskyet,13.6,Mye småfisk
104,2023-06-01,Fedje,Horngjel,31.5,2.31,Sluk,Lettskyet,17.3,Beste fangst på lenge
105,2023-10-09,Øygarden,Steinbit,80.0,10.99,Flue,Tåke,17.2,Mye småfisk
106,2023-02-12,Øygarden,Hyse,71.9,8.69,Shad,Regn,11.4,Beste fangst på lenge
107,2023-02-13,Tysnes,Horngjel,107.6,14.02,Sluk,Skyet,9.5,Beste fangst på lenge
108,2022-11-20,Øygarden,Torsk,27.6,3.15,Agn,Skyet,16.8,Tok på første kast
109,2024-03-31,Øygarden,Steinbit,39.8,4.65,Sluk,Regn,13.8,Rolige forhold
110,2022-06-24,Bjørnafjorden,Horngjel,41.4,3.31,Pilking,Tåke,7.7,Litt bølger
111,2024-01-27,Fedje,Lyr,60.2,7.08,Sluk,Tåke,11.3,Tok på første kast
112,2022-07-28,Austevoll,Lyr,27.9,1.87,Agn,Sol,6.4,Fin dag på sjøen
113,2022-07-06,Fedje,Torsk,87.0,5.62,Flue,Skyet,7.4,Litt bølger
114,2024-07-21,Øygarden,Torsk,63.1,7.21,Flue,Regn,15.4,Litt bølger
115,2023-12-23,Øygarden,Lyr,113.6,10.58,Jigg,Tåke,15.6,Litt bølger
116,2024-01-02,Austevoll,Sei,114.7,11.47,Agn,Skyet,16.2,Mye småfisk
117,2022-08-11,Fedje,Steinbit,89.0,6.57,Flue,Lettskyet,10.2,Rolige forhold
118,2022-10-11,Fitjarøyene,Makrell,83.8,7.02,Jigg,Tåke,9.5,Veldig seig i starten
119,2022-02-06,Austevoll,Torsk,32.6,2.98,Jigg,Tåke,16.1,Mye småfisk
120,2022-01-22,Tysnes,Steinbit,43.9,5.93,Shad,Lettskyet,13.0,Mye småfisk
121,2023-11-28,Fedje,Torsk,98.3,10.7,Shad,Lettskyet,8.3,Overraskende tung
122,2025-01-04,Bjørnafjorden,Makrell,32.2,4.16,Pilking,Regn,6.5,Tok på første kast
123,2022-01-27,Bjørnafjorden,Sild,21.2,1.83,Pilking,Skyet,16.9,Fin dag på sjøen
124,2022-08-24,Øygarden,Torsk,40.8,4.58,Shad,Lettskyet,10.4,Mye småfisk
125,2024-09-29,Øygarden,Makrell,42.8,4.96,Shad,Tåke,11.8,Veldig seig i starten
126,2023-07-19,Tysnes,Sei,55.1,7.3,Pilking,Sol,16.5,Beste fangst på lenge
127,2022-11-11,Bjørnafjorden,Hyse,102.2,10.85,Sluk,Skyet,11.1,Overraskende tung
128,2024-11-17,Bjørnafjorden,Steinbit,108.8,7.42,Agn,Regn,17.4,Tok på første kast
129,2022-12-01,Tysnes,Steinbit,77.6,9.73,Shad,Regn,12.5,Tok på første kast
130,2022-07-15,Tysnes,Steinbit,86.7,8.7,Flue,Regn,8.9,Litt bølger
131,2023-01-22,Øygarden,Sild,100.7,8.26,Flue,Sol,8.1,Mye småfisk
132,2024-11-05,Austevoll,Steinbit,68.1,6.41,Pilking,Tåke,6.9,Rolige forhold
133,2022-08-26,Tysnes,Horngjel,88.8,11.56,Sluk,Regn,7.3,Veldig seig i starten
134,2023-08-27,Øygarden,Sild,83.6,9.29,Agn,Sol,10.6,Fin dag på sjøen
135,2024-11-16,Øygarden,Sei,112.5,12.95,Pilking,Tåke,17.0,Fin dag på sjøen
136,2024-12-07,Bjørnafjorden,Hyse,40.3,2.7,Pilking,Tåke,6.9,Veldig seig i starten
137,2023-07-16,Austevoll,Makrell,102.2,7.79,Sluk,Regn,11.6,Tok på første kast
138,2024-10-11,Bjørnafjorden,Lyr,86.5,8.31,Jigg,Regn,10.9,Overraskende tung
139,2023-05-03,Fitjarøyene,Sei,107.8,14.58,Pilking,Vind,11.0,Mye småfisk
140,2022-03-21,Sotra,Horngjel,22.2,1.35,Flue,Vind,15.8,Litt bølger
141,2022-01-30,Fitjarøyene,Torsk,46.8,3.81,Shad,Vind,7.6,Tok på første kast
142,2022-01-10,Bjørnafjorden,Steinbit,70.5,4.95,Shad,Lettskyet,6.6,Tok på første kast
143,2022-02-28,Øygarden,Sild,93.0,11.0,Sluk,Regn,6.4,Overraskende tung
144,2023-02-14,Tysnes,Torsk,72.1,5.08,Pilking,Regn,9.4,Overraskende tung
145,2022-07-09,Sotra,Sild,44.3,6.01,Pilking,Tåke,16.4,Mye småfisk
146,2023-09-26,Øygarden,Horngjel,80.7,9.41,Shad,Skyet,10.6,Litt bølger
147,2023-06-09,Sotra,Hyse,41.0,3.34,Shad,Lettskyet,15.0,Mye småfisk
148,2022-12-30,Fitjarøyene,Sei,67.6,5.94,Shad,Vind,14.7,Rolige forhold
149,2023-09-10,Fedje,Hyse,81.6,7.28,Flue,Skyet,13.1,Veldig seig i starten
150,2022-04-01,Tysnes,Sild,76.3,8.96,Flue,Lettskyet,6.5,Litt bølger
151,2022-11-20,Fitjarøyene,Sei,47.7,3.94,Jigg,Sol,6.5,Veldig seig i starten
152,2023-08-04,Øygarden,Hyse,35.3,2.16,Pilking,Skyet,11.8,Mye småfisk
153,2022-09-24,Fedje,Sei,100.0,10.74,Pilking,Tåke,10.0,Rolige forhold
154,2024-02-23,Øygarden,Torsk,114.2,13.68,Flue,Tåke,10.1,Mye småfisk
155,2024-08-12,Tysnes,Sild,53.4,5.49,Flue,Lettskyet,10.9,Mye småfisk
156,2023-06-04,Sotra,Sei,117.8,14.6,Flue,Sol,13.1,Rolige forhold
157,2024-10-24,Øygarden,Steinbit,35.9,2.77,Pilking,Sol,14.8,Tok på første kast
158,2024-08-14,Øygarden,Lyr,91.5,6.53,Sluk,Lettskyet,7.1,Overraskende tung
159,2022-06-01,Austevoll,Lyr,73.8,5.72,Agn,Lettskyet,17.4,Overraskende tung
160,2024-06-25,Fedje,Steinbit,44.7,5.11,Flue,Lettskyet,7.6,Mye småfisk
161,2023-04-13,Fitjarøyene,Torsk,42.8,4.77,Shad,Tåke,13.8,Litt bølger
162,2024-11-21,Bjørnafjorden,Sild,46.7,2.91,Flue,Regn,17.6,Mye småfisk
163,2023-07-12,Bjørnafjorden,Torsk,94.1,8.32,Shad,Sol,8.4,Litt bølger
164,2023-10-29,Fitjarøyene,Steinbit,75.5,8.75,Flue,Tåke,7.1,Rolige forhold
165,2024-03-12,Fitjarøyene,Hyse,111.7,11.37,Flue,Tåke,16.7,Fin dag på sjøen
166,2023-10-01,Tysnes,Lyr,103.7,11.87,Pilking,Vind,17.0,Rolige forhold
167,2024-07-14,Øygarden,Sei,26.8,2.83,Flue,Vind,6.5,Mye småfisk
168,2022-11-09,Sotra,Sei,89.8,9.15,Shad,Lettskyet,14.0,Mye småfisk
169,2023-09-01,Øygarden,Hyse,40.8,4.42,Shad,Vind,12.4,Overraskende tung
170,2022-07-23,Øygarden,Steinbit,24.1,1.83,Shad,Skyet,17.9,Tok på første kast
171,2024-10-23,Øygarden,Lyr,32.4,4.49,Flue,Tåke,17.9,Fin dag på sjøen
172,2022-04-01,Fitjarøyene,Torsk,85.3,9.9,Shad,Lettskyet,9.1,Fin dag på sjøen
173,2024-09-21,Fedje,Hyse,53.1,4.73,Jigg,Sol,13.3,Veldig seig i starten
174,2023-12-26,Tysnes,Hyse,101.7,8.76,Jigg,Sol,17.0,Fin dag på sjøen
175,2023-12-03,Fitjarøyene,Sei,69.1,9.01,Pilking,Lettskyet,12.5,Overraskende tung
176,2024-06-25,Bjørnafjorden,Makrell,115.4,10.14,Jigg,Lettskyet,12.3,Overraskende tung
177,2022-01-09,Sotra,Horngjel,111.2,9.61,Shad,Skyet,11.0,Rolige forhold
178,2024-06-06,Tysnes,Sild,69.3,5.39,Sluk,Regn,13.8,Rolige forhold
179,2024-03-02,Øygarden,Torsk,26.5,1.76,Agn,Lettskyet,17.2,Litt bølger
180,2023-03-14,Øygarden,Torsk,28.2,3.15,Sluk,Regn,10.5,Tok på første kast
181,2024-02-05,Fedje,Steinbit,40.8,3.25,Agn,Skyet,14.9,Tok på første kast
182,2023-07-13,Tysnes,Horngjel,105.2,8.07,Jigg,Sol,11.8,Beste fangst på lenge
183,2024-10-30,Sotra,Hyse,82.8,10.33,Jigg,Lettskyet,13.4,Litt bølger
184,2022-03-12,Fedje,Sei,33.5,3.18,Shad,Lettskyet,6.5,Rolige forhold
185,2024-07-20,Bjørnafjorden,Makrell,23.9,1.8,Shad,Skyet,11.4,Litt bølger
186,2024-11-30,Tysnes,Lyr,109.4,8.85,Jigg,Vind,6.2,Veldig seig i starten
187,2023-09-26,Øygarden,Lyr,114.8,10.13,Agn,Vind,13.9,Litt bølger
188,2024-12-03,Austevoll,Makrell,119.0,8.55,Pilking,Lettskyet,12.4,Rolige forhold
189,2023-12-17,Bjørnafjorden,Sei,61.7,6.7,Flue,Sol,17.3,Litt bølger
190,2024-06-12,Sotra,Hyse,92.8,10.28,Jigg,Sol,13.5,Tok på første kast
191,2024-05-04,Fedje,Lyr,28.0,2.25,Shad,Skyet,14.8,Overraskende tung
192,2022-01-20,Fitjarøyene,Torsk,32.8,4.46,Pilking,Lettskyet,10.3,Rolige forhold
193,2023-02-15,Sotra,Sild,108.4,8.04,Pilking,Skyet,6.0,Beste fangst på lenge
194,2022-05-27,Bjørnafjorden,Lyr,113.8,15.12,Shad,Vind,8.3,Mye småfisk
195,2023-05-02,Fedje,Horngjel,98.9,6.26,Sluk,Vind,15.7,Mye småfisk
196,2022-02-14,Austevoll,Hyse,60.0,6.82,Agn,Vind,16.2,Tok på første kast
197,2023-04-11,Austevoll,Lyr,36.9,4.38,Shad,Sol,10.9,Overraskende tung
198,2023-11-10,Austevoll,Lyr,20.3,1.47,Jigg,Lettskyet,15.2,Rolige forhold
199,2022-09-01,Fitjarøyene,Horngjel,113.8,8.87,Shad,Skyet,14.1,Fin dag på sjøen
200,2024-03-04,Bjørnafjorden,Lyr,88.6,10.24,Pilking,Lettskyet,15.1,Tok på første kast
201,2022-12-10,Fedje,Sild,105.6,12.8,Sluk,Regn,6.9,Beste fangst på lenge
202,2022-05-20,Fedje,Steinbit,92.9,12.27,Jigg,Tåke,10.9,Mye småfisk
203,2022-07-27,Øygarden,Sei,68.3,8.19,Flue,Lettskyet,10.9,Mye småfisk
204,2024-05-09,Fedje,Makrell,114.4,11.66,Flue,Lettskyet,10.2,Litt bølger
205,2022-03-30,Sotra,Hyse,116.2,13.69,Sluk,Skyet,17.3,Rolige forhold
206,2024-10-07,Austevoll,Makrell,114.7,13.48,Pilking,Tåke,11.0,Mye småfisk
207,2024-08-11,Austevoll,Steinbit,81.9,8.0,Jigg,Sol,6.6,Beste fangst på lenge
208,2022-06-16,Austevoll,Sei,100.4,9.25,Jigg,Regn,14.1,Litt bølger
209,2023-06-21,Øygarden,Makrell,49.1,6.2,Jigg,Skyet,12.0,Beste fangst på lenge
210,2022-02-05,Tysnes,Makrell,25.5,1.99,Sluk,Vind,6.6,Tok på første kast
211,2022-12-23,Bjørnafjorden,Makrell,101.9,12.11,Jigg,Regn,12.4,Rolige forhold
212,2024-04-25,Tysnes,Makrell,70.6,5.86,Agn,Tåke,17.3,Rolige forhold
213,2023-12-23,Tysnes,Hyse,28.2,2.81,Jigg,Vind,13.2,Overraskende tung
214,2022-04-08,Sotra,Sei,21.4,1.53,Pilking,Lettskyet,6.6,Beste fangst på lenge
215,2024-01-28,Øygarden,Horngjel,86.7,11.96,Pilking,Tåke,16.0,Mye småfisk
216,2024-12-20,Sotra,Horngjel,70.0,4.45,Sluk,Sol,13.1,Fin dag på sjøen
217,2023-01-17,Tysnes,Steinbit,70.2,5.98,Shad,Lettskyet,13.3,Mye småfisk
218,2024-11-08,Fitjarøyene,Steinbit,95.9,8.94,Flue,Sol,7.5,Veldig seig i starten
219,2023-10-30,Tysnes,Torsk,113.7,15.5,Sluk,Vind,14.4,Overraskende tung
220,2023-05-25,Tysnes,Sei,61.9,8.49,Agn,Tåke,17.1,Overraskende tung
221,2023-07-04,Øygarden,Hyse,110.1,13.92,Sluk,Sol,16.4,Overraskende tung
222,2023-05-01,Bjørnafjorden,Hyse,102.5,10.45,Pilking,Tåke,10.7,Fin dag på sjøen
223,2024-06-30,Fitjarøyene,Steinbit,70.7,6.51,Jigg,Lettskyet,14.2,Overraskende tung
224,2022-09-12,Sotra,Horngjel,53.8,5.9,Sluk,Lettskyet,7.1,Tok på første kast
225,2023-06-13,Fitjarøyene,Steinbit,41.8,4.31,Jigg,Tåke,15.7,Veldig seig i starten
226,2023-12-17,Sotra,Makrell,95.4,10.69,Flue,Regn,15.8,Tok på første kast
227,2022-08-05,Austevoll,Torsk,109.2,13.91,Flue,Lettskyet,6.9,Tok på første kast
228,2023-02-15,Sotra,Sild,95.3,6.49,Shad,Tåke,9.1,Fin dag på sjøen
229,2022-03-24,Øygarden,Horngjel,97.0,7.37,Jigg,Sol,17.3,Veldig seig i starten
230,2023-02-21,Fedje,Lyr,51.2,5.95,Shad,Tåke,10.2,Overraskende tung
231,2023-06-24,Tysnes,Torsk,21.3,2.9,Shad,Vind,11.2,Beste fangst på lenge
232,2023-03-08,Fedje,Lyr,109.1,13.05,Shad,Skyet,12.9,Beste fangst på lenge
233,2024-01-01,Øygarden,Torsk,56.7,4.01,Agn,Regn,9.6,Mye småfisk
234,2023-06-29,Bjørnafjorden,Makrell,24.9,1.99,Flue,Sol,10.7,Tok på første kast
235,2022-11-26,Austevoll,Horngjel,89.1,7.49,Flue,Lettskyet,17.5,Rolige forhold
236,2024-11-24,Bjørnafjorden,Lyr,108.9,14.42,Pilking,Lettskyet,7.1,Rolige forhold
237,2023-08-15,Austevoll,Sild,115.6,14.06,Shad,Lettskyet,17.1,Beste fangst på lenge
238,2022-07-25,Austevoll,Sei,63.1,7.0,Jigg,Lettskyet,9.4,Overraskende tung
239,2024-12-20,Tysnes,Sild,107.0,11.58,Flue,Lettskyet,16.0,Litt bølger
240,2024-09-19,Bjørnafjorden,Torsk,68.0,8.25,Flue,Lettskyet,11.6,Mye småfisk
241,2024-08-16,Fedje,Horngjel,115.1,15.55,Agn,Skyet,13.5,Litt bølger
242,2023-02-26,Sotra,Makrell,65.0,9.08,Flue,Vind,9.6,Tok på første kast
243,2023-04-13,Austevoll,Lyr,108.9,13.55,Shad,Vind,14.0,Fin dag på sjøen
244,2024-09-25,Austevoll,Sild,24.0,2.01,Sluk,Tåke,16.4,Veldig seig i starten
245,2022-08-24,Øygarden,Horngjel,45.8,5.92,Shad,Vind,10.9,Tok på første kast
246,2024-02-26,Øygarden,Makrell,93.5,7.36,Sluk,Sol,15.0,Beste fangst på lenge
247,2024-11-24,Fedje,Makrell,51.6,4.51,Flue,Lettskyet,17.3,Tok på første kast
248,2024-08-26,Fedje,Sild,88.9,6.78,Flue,Regn,8.1,Overraskende tung
249,2022-09-25,Fitjarøyene,Horngjel,40.6,4.81,Agn,Vind,7.6,Overraskende tung
250,2023-09-01,Austevoll,Steinbit,84.0,11.21,Pilking,Sol,7.0,Tok på første kast
251,2023-05-10,Øygarden,Steinbit,49.5,4.52,Jigg,Sol,9.6,Beste fangst på lenge
252,2022-05-20,Øygarden,Makrell,102.3,9.42,Sluk,Sol,15.9,Rolige forhold
253,2023-09-09,Tysnes,Sild,56.3,5.77,Sluk,Skyet,8.1,Rolige forhold
254,2023-11-21,Sotra,Sild,88.2,9.41,Jigg,Vind,13.6,Fin dag på sjøen
255,2024-01-05,Sotra,Sild,117.9,10.04,Jigg,Sol,12.1,Fin dag på sjøen
256,2024-02-02,Tysnes,Hyse,30.5,2.4,Shad,Vind,13.6,Rolige forhold
257,2023-01-18,Bjørnafjorden,Torsk,48.6,6.38,Sluk,Sol,13.8,Veldig seig i starten
258,2023-11-05,Fitjarøyene,Makrell,72.6,5.17,Sluk,Tåke,7.0,Beste fangst på lenge
259,2024-04-30,Sotra,Horngjel,23.1,2.39,Sluk,Lettskyet,14.1,Veldig seig i starten
260,2024-03-01,Fedje,Hyse,28.8,2.93,Shad,Tåke,8.8,Rolige forhold
261,2023-03-27,Fedje,Hyse,118.2,10.7,Shad,Tåke,8.4,Tok på første kast
262,2022-10-08,Fedje,Horngjel,107.8,9.29,Jigg,Vind,12.1,Mye småfisk
263,2022-03-28,Tysnes,Sei,42.4,4.37,Sluk,Tåke,8.2,Mye småfisk
264,2024-08-03,Fedje,Torsk,57.7,6.42,Shad,Vind,10.2,Beste fangst på lenge
265,2024-04-21,Tysnes,Makrell,112.2,12.66,Pilking,Vind,11.4,Tok på første kast
266,2024-03-17,Fedje,Steinbit,52.9,5.85,Jigg,Sol,9.4,Tok på første kast
267,2022-11-30,Øygarden,Lyr,31.0,3.5,Flue,Vind,11.8,Overraskende tung
268,2023-07-23,Fitjarøyene,Lyr,96.2,10.79,Agn,Vind,11.2,Veldig seig i starten
269,2022-02-27,Fitjarøyene,Steinbit,106.7,14.52,Pilking,Tåke,16.8,Beste fangst på lenge
270,2022-02-11,Fedje,Sei,46.8,4.32,Agn,Skyet,16.2,Beste fangst på lenge
271,2023-11-29,Øygarden,Sei,111.3,8.95,Shad,Regn,13.8,Veldig seig i starten
272,2022-05-26,Fitjarøyene,Makrell,119.7,7.58,Sluk,Skyet,6.7,Fin dag på sjøen
